flight_number,source,destination,departure_time,arrival_time,price,aircraft_model,aircraft_registration,aircraft_capacity
JP-101,Mumbai,Delhi,2026-05-10 06:00,2026-05-10 08:15,6500,Boeing 737,JP-737A,180
JP-102,Delhi,Bangalore,2026-05-10 09:30,2026-05-10 12:00,7200,Airbus A320,JP-A320,165
JP-103,Bangalore,Chennai,2026-05-11 07:00,2026-05-11 08:10,4800,ATR 72,JP-ATR1,70
JP-104,Chennai,Hyderabad,2026-05-11 10:00,2026-05-11 11:20,5100,Boeing 737,JP-737B,180
JP-105,Hyderabad,Mumbai,2026-05-12 14:00,2026-05-12 16:10,6800,Airbus A320,JP-A321,165
JP-106,Mumbai,Kolkata,2026-05-12 08:00,2026-05-12 11:00,9200,Boeing 787 Dreamliner,JP-787A,296
JP-107,Kolkata,Delhi,2026-05-13 12:00,2026-05-13 14:30,8100,Airbus A320,JP-A322,165
JP-108,Delhi,Goa,2026-05-13 15:00,2026-05-13 17:30,9500,Boeing 737,JP-737C,180
JP-109,Goa,Mumbai,2026-05-14 10:00,2026-05-14 11:30,5200,ATR 72,JP-ATR2,70
JP-110,Mumbai,Dubai,2026-05-14 23:00,2026-05-15 01:30,22000,Boeing 787 Dreamliner,JP-787B,296
JP-111,Delhi,London,2026-05-15 02:00,2026-05-15 07:30,75000,Airbus A350,JP-A350,350
JP-112,Bangalore,Singapore,2026-05-15 22:00,2026-05-16 05:30,28000,Boeing 787 Dreamliner,JP-787C,296
JP-113,Mumbai,New York,2026-05-16 01:00,2026-05-16 15:00,95000,Boeing 787 Dreamliner,JP-787D,296
JP-114,Chennai,Kuala Lumpur,2026-05-16 07:00,2026-05-16 13:00,18500,Airbus A320,JP-A323,165
JP-115,Hyderabad,Dubai,2026-05-17 03:30,2026-05-17 06:30,21000,Airbus A320,JP-A324,165
JP-116,Mumbai,Bangkok,2026-05-17 21:00,2026-05-18 03:00,24000,Boeing 737,JP-737D,180
JP-117,Delhi,Mumbai,2026-05-18 07:00,2026-05-18 09:15,6200,Airbus A320,JP-A325,165
JP-118,Mumbai,Pune,2026-05-18 11:00,2026-05-18 11:45,3200,ATR 72,JP-ATR3,70
JP-119,Kolkata,Chennai,2026-05-19 08:00,2026-05-19 10:30,8800,Boeing 737,JP-737E,180
JP-120,Delhi,Singapore,2026-05-20 23:30,2026-05-21 09:00,32000,Airbus A350,JP-A351,350
